,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Random,Heuristic,CAEBOriginal,CAEB,CAE,CAESL,CAEDL,CAESDL
710,28.0,21.0,4.0,12.0,12.0,81.0,0.0,0.644782906769534,0.40444216262354105,0.07184386822071906,0.022240739151493227,0.03082596316871537,0.009342395101705194,0.045960702047989306,0.021135152303364296
711,28.0,21.0,4.0,12.0,15.0,56.0,0.0,0.6201375980566918,0.221891391168455,0.5552784972918734,0.5345612403212067,0.5736742402713436,0.5947344688505278,0.5942478356687024,0.5377634594519842
712,28.0,21.0,4.0,12.0,14.0,74.0,0.0,0.5763310444695438,0.2658546176008381,0.3075774850732328,0.3244251849009959,0.34773728577727075,0.35161830036798475,0.39019489325608414,0.3488684430632126
713,28.0,21.0,4.0,12.0,17.0,32.0,0.0,0.599813866319604,0.2855652452283646,0.4832855544897935,0.679542310389354,0.6640550788470151,0.6154716977711256,0.6662189287390313,0.532569282336418
714,28.0,21.0,4.0,12.0,16.0,32.0,0.0,0.7117017860560768,0.3237039306694559,0.5191687972816941,0.5623194917186235,0.5831648123062623,0.5814326184997385,0.6469393399265908,0.5145216746758532
715,29.0,21.0,11.0,4.0,1.0,4.0,0.0,0.5880016020816692,0.45676621736668804,0.7342628038636306,0.7472094509746138,0.7045725810699307,0.724341011187621,0.6972906660728888,0.72790535969909
716,29.0,21.0,11.0,4.0,0.0,10.0,0.0,0.38837965099611965,0.39016669399618703,0.6779830719687092,0.7019565084887787,0.6233315767520033,0.6170075483137172,0.6357342774982497,0.6366475446944599
717,29.0,21.0,11.0,4.0,3.0,50.0,0.0,0.5434259696398832,0.27937598873648256,0.48940679905917683,0.4799533075994875,0.3581516900102818,0.3331155725003485,0.3767802448353845,0.4026133218514737
718,29.0,21.0,11.0,4.0,2.0,14.0,0.0,0.5439122004244111,0.28413665363926577,0.6598356923820486,0.6989939137469869,0.5728555339557468,0.5364827011371918,0.5776390224223742,0.5579356615161558
719,29.0,21.0,11.0,4.0,5.0,26.0,0.0,0.5952551479780167,0.1875379326265666,0.450287793103486,0.44680818935943695,0.3607210915320603,0.30172976295235115,0.47590129658443425,0.43419198581961194
720,29.0,21.0,11.0,4.0,4.0,37.0,0.0,0.598746136071668,0.12181240126827253,0.517914349965097,0.4055118336829666,0.43663742434559244,0.31213316236564076,0.45504561945442845,0.3830839343741782
721,0.0,21.0,3.0,9.0,7.0,30.0,0.0,0.4812996751713391,0.14324823607120074,0.37075590715632917,0.3376000662456284,0.3569112219514991,0.29243543433114216,0.3288870652418901,0.33141294329980736
722,0.0,21.0,3.0,9.0,6.0,23.0,0.0,0.5482761772892649,0.14278486707536997,0.35395710617830317,0.3820147861831975,0.3892676062424382,0.3421139971214503,0.38564274732609405,0.4011590810127787
723,0.0,21.0,3.0,9.0,9.0,16.0,0.0,0.5081616979222773,0.12768579868087399,0.2688541324049183,0.21451807298799253,0.281220586554699,0.19225708871489058,0.23258299915179773,0.2146779971215211
724,0.0,21.0,3.0,9.0,8.0,30.0,0.0,0.5765127189843788,0.1414605769177853,0.38174909293326653,0.38612862944934795,0.4042436841385045,0.3648023456779791,0.3766839169850601,0.4066994226848656
725,0.0,21.0,3.0,9.0,11.0,31.0,0.0,0.735214565932667,0.13959001000897342,0.31774816172344295,0.3299421331361517,0.3635109840711076,0.28994348246247026,0.3778227020414563,0.35144395346071666
726,0.0,21.0,3.0,9.0,10.0,38.0,0.0,0.5504206134014124,0.13462311542130917,0.2765315310989837,0.23311325163167354,0.26337213807475507,0.22349292241102395,0.26483357024563026,0.268841007406018
727,1.0,21.0,2.0,13.0,13.0,60.0,0.0,0.4818453098013664,0.1576134767007338,0.10579185974240353,0.1415662540564712,0.16683225909403965,0.122709234285576,0.14197908511747984,0.15602347091861068
728,1.0,21.0,2.0,13.0,12.0,64.0,0.0,0.49823006239802,0.22075299331173487,0.36129099958153005,0.37493045202450703,0.4147484627888651,0.32210430076309965,0.3812484143843783,0.4661513473484743
729,1.0,21.0,2.0,13.0,15.0,54.0,0.0,0.7567694533890439,0.19873712456301867,0.2038948238978251,0.16448198591267743,0.169919697362412,0.1582080166751897,0.19771919060379153,0.2105388847488802
730,1.0,21.0,2.0,13.0,14.0,60.0,0.0,0.41533085997618174,0.2741623805564538,0.04120086763731912,0.04475035761807742,0.08079414339066245,0.05173199235161103,0.08070548734610682,0.04273193020319534
731,1.0,21.0,2.0,13.0,17.0,43.0,0.0,0.43270083923205427,0.18006066287143374,0.34274907558396994,0.3549803656956089,0.3636112506474375,0.3540787138792785,0.3549483592893393,0.3783603836898912
732,1.0,21.0,2.0,13.0,16.0,52.0,0.0,0.6321639304125892,0.1658041879297446,0.22192182878249528,0.23673432894479546,0.24665187297183624,0.22106636625397447,0.2523811795455857,0.2771803106639129
733,2.0,21.0,11.0,17.0,13.0,3.0,0.0,0.5002509392458413,0.053587430261501694,0.18136969238680756,0.15755485693706647,0.13916636346620903,0.1338318811177641,0.22778950619165889,0.22302802985137793
734,2.0,21.0,11.0,17.0,12.0,7.0,0.0,0.4028009115839838,0.17625614569605272,0.23252515207143554,0.1694330775266769,0.14203519803711798,0.14162535496726916,0.21515269410385088,0.19381700269617722
735,2.0,21.0,11.0,17.0,15.0,3.0,0.0,0.7170641104444281,0.13713021343191764,0.36690157573118487,0.30247137340916114,0.2728932977065203,0.23803383386913055,0.338573611490691,0.3187173552090046
736,2.0,21.0,11.0,17.0,14.0,3.0,0.0,0.4181377272084932,0.3983660728994173,0.38040122277349214,0.3009153189746874,0.29749761351664605,0.3283476306166025,0.3692984188486008,0.3754721290540888
737,2.0,21.0,11.0,17.0,17.0,40.0,0.0,0.7716977763675645,0.12249926211182939,0.2757103464636039,0.23055277093042356,0.2263002744032837,0.1457392343258422,0.28552806580481765,0.2803367623599792
