,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,tim,adib,vae,cvae1,cvae2,cvae3,vaeb,cvae1b,cvae2b,cvae3b
104,17.0,12.0,3.0,14.0,12.0,46.0,0.0,0.30012855091287655,0.2976066497516409,0.48619675163495024,0.5051627307083143,0.6139745520980411,0.5934605868019115,0.4230614049931799,0.2848216619681676,0.34047863774219256,0.4068306550312689
105,17.0,12.0,3.0,14.0,15.0,51.0,0.0,0.3067211466848137,0.3461890765635552,0.4599025031284318,0.39858874508992953,0.6759066460108784,0.6488045819308013,0.42495135630153885,0.3178298600389003,0.39488420475710445,0.427060290302104
106,17.0,12.0,3.0,14.0,14.0,0.0,0.0,0.20506609221414654,0.3278630649904129,0.4059215700110214,0.3274200646440909,0.557441683263761,0.4702768303929416,0.5590407331154523,0.3264914430347185,0.3606411982311142,0.396713042300086
107,17.0,12.0,3.0,14.0,17.0,34.0,0.0,0.31601764661710596,0.42068683596356593,0.690263134392882,0.6201738429198045,0.8140067764453746,0.7775834218331764,0.5074115105535317,0.5555680276671904,0.5752167068747777,0.6018756072309531
108,17.0,12.0,3.0,14.0,16.0,60.0,0.0,0.22668568843506198,0.3948873078902345,0.5882805239970997,0.46136982170356905,0.5812561347032615,0.683321142846345,0.5633978725574768,0.5038459651091433,0.49226201302497835,0.5161776829122915
109,18.0,12.0,5.0,0.0,1.0,54.0,0.0,0.32953788948710155,0.0,0.1758459026029529,0.26060222119167714,0.24039781697888235,0.33973091532353605,0.01123095701571142,0.04105244885744905,0.031060417362979504,0.017983329184393073
110,18.0,12.0,5.0,0.0,0.0,63.0,0.0,0.27275790498631225,0.058882190151510395,0.18015622917473417,0.25436951928381507,0.3836855458156658,0.3734242412979929,0.1630637323227475,0.16348710538936403,0.1765109096831651,0.23291195871925946
111,18.0,12.0,5.0,0.0,3.0,0.0,0.0,0.3035417810587818,0.30807839041159774,0.6298549308626252,0.5807167086862729,0.6868544151198615,0.7720557270407009,0.4407815732010156,0.4832447400849045,0.606861355800269,0.4986341634873413
112,18.0,12.0,5.0,0.0,2.0,9.0,0.0,0.3366415725031746,0.47395995912929917,0.5208484538420867,0.6407176185814237,0.5877208355932464,0.816608708020297,0.6000390590435732,0.5822311467478481,0.7074063087343155,0.575421553029551
113,18.0,12.0,5.0,0.0,5.0,0.0,0.0,0.2815541396614999,0.516787616609014,0.6355206494533393,0.7073113544245752,0.6726254718369086,0.9473786449873877,0.6074841948389899,0.6986437635907093,0.7985905669257992,0.6412804639144348
